Lens ID,Title,Publication Year,Source Country,Author/s,Keywords
145-335-447-204-96X,Defining the Subtypes of Long COVID and Risk Factors for Prolonged Disease: Population-Based Case-Crossover Study.,2024,Canada,Skyler Resendez; Steven H Brown; Hugo Sebastian Ruiz Ayala; Prahalad Rangan; Jonathan Nebeker; Diane Montella; Peter L Elkin,COVID-19; COVID-19 testing; COVID-19 treatment; PASC; United States; Veterans Affairs; clinician; diagnosis; health care support; long COVID; long COVID cause; mobile phone; pandemic; policy initiatives; postacute sequelae of COVID-19; public health; public safety
145-852-447-923-003,NHS England rolls back on guidance to consider dismissing staff with long COVID,2022,,,
146-089-968-695-878,Integrative Genome-Wide Association Studies of COVID-19 Susceptibility and Hospitalization Reveal Risk Loci for Long COVID,2025,,Zhongshan Cheng,
146-226-697-796-869,Long COVID,2021,,Diego Castanares-Zapatero; Laurence Kohn; Marie Dauvrin; Jens Detollenaere; Charline Maertens de Noordhout; Célia Primus-de Jong; Irina Cleemput; Koen Van Den Heede,
146-574-567-033-08X,Neurological Mechanisms of Long COVID,2024,,Tzu-Jiuan Hsia,
146-802-637-448-785,Novel Oro-Nasal Drainage for Long COVID: Proposed Mechanisms – Case Report,2024,,Claudia Lorenz; Roland Frankenberger,
147-085-167-190-851,DNA methylation in long COVID,2024,,Yangfan Xiao; Sten H. Vermund,
147-133-617-530-344,Comparison of periodontal disease severity in COVID-19 survivors and non-COVID-19 individuals,2024,,M. Louisa; R.A. Putranto; O.N. Komala; W. Anggraini,
147-557-467-633-194,Altered brain tissue microstructure and neurochemical profiles in long COVID and recovered COVID-19 individuals: A multimodal MRI study.,2025,United States,Kiran Thapaliya; Sonya Marshall-Gradisnik; Maira Inderyas; Leighton Barnden,COVID recovered; Diffusion tensor imaging; Long COVID; Magnetic resonance spectroscopy; Neurochemicals; Neuroimaging; T1 and T2 weighted
147-948-351-346-028,"Long-COVID, neurological and cardiovascular disorders",2023,,Oleksandr Saienko; Mykola Chemych; Vladyslav Svitailo,
148-386-798-998-65X,How young people experienced long covid services: a qualitative analysis.,2025,England,Olivia Lauryn Taylor; Georgia Treneman-Evans; Madeleine Riley; Jo Bond-Kendall; Katharine Claire Pike,Adolescent Health; COVID-19; Child Health; Qualitative research
148-881-485-814-352,Stress management and long Covid-19 considerations,2026,,Bryan Boon,
149-223-142-917-095,The association of medical and vaccination history with the development of long COVID,2024,United States,Robert Post,
149-413-742-132-635,Nyeri Kepala Long-Covid: Sebuah Tinjauan Pustaka,2024,,Putu Setiani; Rindha Dwi Sihanto; I Gusti Ngurah Purna Putra,
149-512-548-290-289,Long COVID,2022,,World Bank,
149-620-552-858-656,Navigating Long COVID,2025,,Erik P. Southard,
149-749-628-519-317,Long COVID: Accommodating a slippery fish,2022,,Eric Lyerly,
149-762-231-204-874,From brain fog to COVID toe: A head-to-toe review of long COVID,2023,,Jamie K. Stone; Sarah E. Berman; Wendy Zheng; Drake R. Wilson; Gabrielle R. Diaz,
149-803-997-284-087,"Prevalence, Symptoms, and Associated Factors of Long COVID-19: A Cross-Sectional Survey Study",2025,,Rapeephan R Maude; Siriwan Tangjitgamol; Kasem Sirithanakul; Yanisa Duangduen; Natapon Ativanichayapong,
149-913-504-895-179,Long COVID,2022,,,
149-918-638-207-75X,Long Covid-19: Post Covid Symptoms and Care,2021,,Apurva Barsainya,LOng COVID; POST COVID; COVID-19; SARS-COV-2; ThROmbOSIS AnD CyTOkIne STORm
149-927-623-900-732,Pre-assessment and management of long COVID patients requiring elective surgery: challenges and guidance.,2023,United States,Sophie Boles; Sundar Raj Ashok,Assessment; COVID-19; Functional capacity; Guidelines; Long COVID; Perioperative; Postoperative; Preoperative
150-491-323-441-686,Peer Review Report For: PHARM-LC: What role can Community Pharmacy play in supporting people with long Covid? Protocol for a mixed methods study [version 1; peer review: 1 approved],2024,,Shubashini Gnanasan,
150-562-164-768-74X,Assessment of Brainstem volume in Myalgic Encephalomyelitis/Chronic fatigue syndrome and long-COVID patients,2024,,KIRAN THAPALIYA; Sonya Marshall-Gradisnik; Markus Barth; Natalie Eaton-Fitch; Leighton Barnden,
150-725-046-495-684,Machine learning identifies long COVID patterns from electronic health records.,2023,United Kingdom,,Viral infection; Outcomes research
150-990-033-215-118,Long-term covid outcomes and cardiovascular health: New pandemic after the pandemic?,2025,,null Anastasiia Hovornyan; null Tetiana Ilashchuk,
151-389-761-877-696,Comparing personality traits of healthcare workers with and without long COVID: Cross-sectional study.,2024,Australia,Keiko Sakai; Seiichiro Tarutani; Takehiko Okamura; Hiroshi Yoneda; Tatsuhito Kawasaki; Masatoshi Takeda,COVID‐19; healthcare workers; long COVID; mental health; personality traits
151-850-044-476-606,Long-term psychological consequences of long Covid: a propensity score matching analysis comparing trajectories of depression and anxiety symptoms before and after contracting long Covid vs short Covid,2022,,Daisy Fancourt; Andrew Steptoe; Feifei Bu,long Covid; pandemic; mental health; depression; anxiety
152-407-398-570-368,People with a connective tissue disorder may be especially vulnerable to the endothelial damage that characterizes long COVID due to the fragility of their vasculature and slow wound healing.,2024,Netherlands,Jeffrey Lubell,Connective tissue disorders; Long COVID; Post-COVID syndrome; Postacute sequelae of SARS-CoV-2
152-553-181-563-189,Cognitive strategies and metacognition in occupational therapy for a long COVID-19 patient: a single case report,2023,,Sancler Andrade,
152-941-098-046-265,Long Covid Sentiment Analysis of Twitter Posts to understand public concerns,2022,,Harshee Pitroda,
153-269-218-293-847,When to suspect ME/CFS or Long Covid,2025,,Gavin Spickett,
153-773-022-896-34X,Listening to Long COVID: Epistemic Injustice and COVID-19 morbidity,2021,,Vivian V. Altiery De Jesus; Nisreen A Alwan; Felicity Callard; Zackary Berger,Long COVID; COVID-19; Epistemic Injustice; Testimonial Injustice; Social disability model
154-078-617-230-08X,Clinical characteristics and long term consequences of COVID-19 patients in dedicated COVID unit of a tertiary care hospital: an 8-month follow-up study,2022,,Utshab Roy; Najeeb Mahiyuddin; Syeda Kalam; Tarek Ahmed,
154-390-002-085-695,The definition of long COVID used in interventional studies.,2023,United Kingdom,Alyson Haslam; Timothée Olivier; Vinay Prasad,COVID long-haulers; long COVID; persistent COVID; randomized studies
154-646-729-283-410,The Long COVID Conundrum,2025,,Wen-Ta Chiu; Jonathan Wu,
154-844-377-106-548,"Health behaviours the month prior to COVID-19 infection and the development of self-reported long COVID and specific long COVID symptoms: A longitudinal analysis of 1,811 UK adults",2022,,Elise Paul; Daisy Fancourt,COVID-19; long COVID; health behaviours
155-283-978-034-868,Hubungan Komorbid Hipertensi dengan Gejala Long Covid-19,2023,,Althaafvashti Trixie Niadi; Lelly Yuniarti; null Abdul Hadi Hassan,
155-672-979-645-416,Long COVID,2025,,Anabel Franco-Moreno; Juan Torres-Macho,
155-820-546-401-661,"Review of: ""Fluoxetine plus lithium for treatment of mental health impairment in Long Covid""",2022,,Jeyasakthy Saniasiaya,
156-405-210-836-82X,"Mapping Long COVID across the EU: definitions, guidelines and surveillance systems in EU Member States",2024,United Kingdom,I Van Der Heide; J Hansen,
156-864-146-207-764,Long COVID: An unpredicted multisystem syndrome of COVID-19 disease,2023,,null SHITAL VISHNU PATIL; null NEEL TANDEL; null GAJANAN GODHALI,
157-047-166-571-367,Is 'Long Covid' similar to 'Long SARS'?,2022,England,John Patcai,"""Long Covid""; ""post acute sequelae of COVID-19 -PASC""; ""Long SARS""; ""post acute sequelae of SARS""; ""Covid""; SARS"
157-103-769-435-659,Hosszú Covid – Tartós Covid  • Long Covid – Protracted Covid,2022,,István Kenesei,
157-411-260-158-462,Immunometabolic rewiring in long COVID patients with chronic headache.,2023,United States,Suan-Sin Foo; Weiqiang Chen; Kyle L Jung; Tamiris Azamor; Un Yung Choi; Pengfei Zhang; Suzy Aa Comhair; Serpil C Erzurum; Lara Jehi; Jae U Jung,
157-791-263-268-904,A Case Definition of a New Disease: A Review of the US Working Definition (USG) and 2024 NASEM Definition for Long COVID,2025,,Elisa Perego,
157-796-401-261-536,Long-COVID improves in 50% of patients after a year in a Midwestern cohort.,2024,United States,Grant Stalker; Rosarie Tudas; Alpana Garg; Lauren Graham; Andrew L Thurman; R Todd Wiblin; Nabeel Hamzeh; Robert J Blount; Raul Villacreses; Joseph Zabner; Alejandro Comellas; Josalyn L Cho; Alejandro Pezzulo,
158-182-743-670-460,Long COVID in Children.,2022,United States,Anita Slomski,
158-785-772-912-775,Long Covid and Rehabilitation,2021,,Shamama Athar,
158-810-969-537-173,A long journey to long COVID.,2023,United Kingdom,Munyaradzi Makoni,
158-911-304-094-956,"Differences in clinical presentation with long covid following community and hospital infection, and associations with all-cause mortality: English sentinel network database study (Preprint)",2022,,Bernardo Meza-Torres; Gayathri Delanerolle; Cecilia Okusi; Nikhil Mayer; Sneha Anand; Jack McCartney; Piers Gatenby; Ben Glampson; Martin Chapman; Vasa Curcin; Erik Mayer; Mark Joy; Trisha Greenhalgh; Brendan Delaney; Simon de Lusignan,
159-096-311-363-294,Long COVID in Brain Health Research: A Call to Action.,2024,Switzerland,Thorsten Rudroff,brain stimulation; cognitive function; fatigue; long COVID; neuroimaging
159-135-725-598-99X,Gastrointestinal manifestations of long COVID.,2024,Netherlands,Louise R King,COVID-19; Clinical; Gastrointestinal; Long COVID; Microbiome; Post COVID
159-295-265-127-961,Covid-19: US studies show racial and ethnic disparities in long covid.,2023,United Kingdom,Janice Hopkins Tanne,
159-797-319-495-242,"A Qualitative Analysis of Lived Experiences, Mental Health Treatment Needs, and Psychotherapeutic Applications Among Veterans with Long COVID",2024,,Caroline Boucher; Sofie Glatt; Chana Silver; Lakshmi Chennapragada; Sarah Sullivan; Ariana Dichiara; Yosef Sokol; Sapana Patel; Marianne Goodman,
160-089-965-488-993,"""There is no one who helps you with it."" Experiences of people with long COVID regarding medical care, therapeutic measures, and barriers in the German healthcare system: results of a qualitative study with four focus groups",2023,,Tim Schmachtenberg; Gloria Königs; Anita Dragaqina; Sascha Roder; Frank Müller; Christina Müllenmeister; Dominik Schröder; Alexandra Dopfer-Jablonka; Katharina Vieth; Iman El-Sayed,
160-339-237-194-515,The multi-professional care team to guide the rehabilitation of Covid long patients,2022,France,Carine Bret; Carole Aziza,Covid long; HDJ; SSR; rehabilitation; reintegration; réadaptation; réinsertion
160-740-540-546-393,Long COVID,2021,,The Editor in Chief,
161-195-869-398-15X,Quantitative susceptibility changes in white matter and subcortical gray matter in long-COVID,2025,,Alexander Cohen; Kevin Koch; Brad Swearingen; Andrew Nencka; Vincent Mathews; Yang Wang,
161-639-767-088-147,A clinical review of long-COVID with a focus on the respiratory system.,2022,United States,Luke Daines; Bang Zheng; Paul Pfeffer; John R Hurst; Aziz Sheikh,COVID-19; long-COVID; respiratory; breathlessness
161-777-692-363-92X,Reduced Incidence of Long-COVID Symptoms Related to Administration of COVID-19 Vaccines Both Before COVID-19 Diagnosis and Up to 12 Weeks After,2021,,Michael A. Simon; Ryan D. Luginbuhl; Richard A Parker,
161-862-025-316-35X,Clues to long COVID.,2022,United States,Jennifer Couzin-Frankel,
161-964-991-976-113,Strategic Inhibition of CHRM Autoantibodies: Molecular Insights and Therapeutic Potentials in Long COVID.,2025,United States,Abdul Mannan Baig; Sandy Rosko; Beate Jaeger; Joachim Gerlach,
162-461-200-500-998,Metabolic Profile of Patients With Long Covid: a Cross-sectional Study,2022,,Daniel Menezes; Patrícia Lima; Igor Lima; Juliana Uesugi; Pedro Vasconcelos; Juarez Quaresma; Luiz Falcão,Long COVID; Cardiometabolic Risk Factors; Laboratory Markers
162-479-327-841-162,Post-exertional malaise among people with long COVID compared to myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).,2023,Netherlands,Suzanne D Vernon; Megan Hartle; Karen Sullivan; Jennifer Bell; Saeed Abbaszadeh; Derya Unutmaz; Lucinda Bateman,Post-acute COVID-19 syndrome; exertional intolerance; fatigue; long haul COVID; post-viral fatigue syndrome
162-549-001-203-110,Long-COVID is associated with increased absenteeism from work.,2025,United States,Jaewhan Kim; Sanghoon Lee; Peter Weir,
163-542-600-624-181,Long COVID dan Sistem Kardiovaskular,2024,,null Muhadi; Ivan M. Laksmana,
163-555-639-820-182,Treatment with Minocycline and Kampo Medicine (Kami-Kihi-To and Saiko-Keishi-To) for COVID-19 and Long COVID,2025,,Masashi Ohe,
164-042-005-203-96X,Perceptions and experiences of different Long COVID community rehabilitation service models from the perspectives of people living with Long COVID and healthcare professionals,2023,,Edward Duncan; Lyndsay Alexander; Julie Cowie; Alison Love; Jacqui Morris; Rachel Moss; Jane Ormerod; Jenny Preston; Joanna Shim; Emma Stage; Tricia Tooman; Kay Cooper,
164-096-976-551-688,Promotion of non-evidence-based therapeutics within patient-led Long COVID support groups.,2021,United Kingdom,Vicky van der Togt; Sammie Mcfarland; Marta Esperti; Elizabeth Semper; Sara Citrenbaum; Jeremy S Rossman,
165-074-797-652-749,Post-COVID–Long COVID—What More?,2022,,Sashi B Gupta; M Subramanyam; S Preeti; Suganya PP Krishna Pillai; Garapati N Sowmya; M Chandrashekar,Coping strategies; Lockdown; Long COVID-19 syndrome
165-282-456-719-614,Long-COVID neurological symptoms are associated with D-dimer levels in COVID-19 patients,2022,,Diah Kurnia Mirawati; Pepi Budianto; Rivan Danuaji; Subandi Subandi; Ira Ristinawati; Hanindia Riani Prabaningtyas,
165-466-820-510-435,Long COVID and autism spectrum disorders – a narrative review,2023,,Anna Zalewska,
165-611-154-790-268,Long COVID and its associated factors among COVID survivors in the community from a middle-income country-An online cross-sectional study.,2022,United States,Foong Ming Moy; Noran Naqiah Hairi; Eugene Ri Jian Lim; Awang Bulgiba,
165-623-360-167-782,Long COVID,2026,,William J.M. Kinnear; Lukas Kalinke; James H. Hull,
165-644-632-847-603,"Chronic SARS-CoV-2, a Cause of Post-acute COVID-19 Sequelae (Long-COVID)?",2021,Switzerland,Jake S. O’Donnell; Keith J. Chappell,COVID-19; Long-COVID-syndrome; chronic; gut flora; immunology
165-915-898-856-242,"Long COVID: Complications, Underlying Mechanisms, and Treatment Strategies.",2023,United States,Farigol Hakem Zadeh; Daniel R Wilson; Devendra K Agrawal,Anxiety; Brain fog; Chronic fatigue syndrome; Cognitive dysfunction; Covid-19; Depression; Long Covid; Post Covid-19 syndrome; Post SARS-CoV2; Postural orthostatic tachycardia syndrome; Pulmonary fibrosis
166-865-002-944-957,Potential of Black Seeds (Nigella sativa) in the Management of Long COVID or Post-acute Sequelae of COVID-19 (PASC) and Persistent COVID-19 Symptoms - An Insight.,2023,United Arab Emirates,Naina Mohamed Pakkir Maideen; Abdurazak Hassan Jumale; Ibrahim Ramadan Barakat; Ayesha Khalifa Albasti,Long COVID; Nigella sativa; black seeds; chronic COVID; kalonji; long-haul COVID; long-term effects of COVID; post-COVID conditions (PCC); post-acute COVID-19; postacute sequelae of SARS-CoV-2 infection (PASC); thymoquinone
166-882-672-990-404,536. Development of post acute sequelae of SARS-Cov-2 infection (long Covid) in outpatient receiving monoclonal antibodies,2023,United States,Amelia Neto; Vivek Kak,
167-070-323-955-021,Phenotyping long COVID,2022,,Robert Naeije; Caravita Sergio,
167-111-241-111-843,Long-Term Cardiovascular Disorders of COVID-19,2023,,Muhammad Hassan Khan; Richard C. Becker,
167-188-720-768-581,The long COVID haul.,2023,United Kingdom,Sian Lewis,
167-505-535-810-473,"Association of long COVID with housing insecurity in the United States, 2022-2023.",2023,United Kingdom,Samuel E Packard; Ezra Susser,COVID-19; Housing; Housing insecurity; Long COVID; Post-acute COVID-19 syndrome
167-734-074-943-634,Long-COVID in immunocompromised children.,2022,Germany,Karolina Kuczborska; Piotr Buda; Janusz Książyk,Immunodeficiency; Long-COVID; Pediatric population; SARS-CoV-2
168-469-787-615-800,Long covid pulmonary rehabilitation,2025,France,H Ouksel,Covid long; Education thérapeutique du patient; Long-term Covid; PACING; Post-Covid Sequelae; Pulmonary réadaptation; Réadaptation respiratoire; Séquelles post Covid; Therapeutic Patient Education
168-568-339-022-255,Descriptive and Narrative Study of Long Covid Cases in General Practice and Diagnostic Value of Single Photon Emission Computed Tomography (SPECT scan),2022,,Marc Jamoulle; Gisèle Kazeneza-Mugisha; Ayoub Zayane,Long Covid; Family Medicine; Narrative Medicine; Single Photon Emission Computed Tomography (SPECT CT); Mixed Research
168-672-671-776-630,"P-273 COVID-19, LONG-COVID AND RETURN-TO-WORK: RESULTS OF A SURVEY FOR OCCUPATIONAL PHYSICIANS FROM AN ITALIAN REGION",2024,United Kingdom,Alberto Modenese; Fabriziomaria Gobba,
169-274-962-093-752,Post-Concussion Assessment as a diagnostic and mechanistic framework for treating patients with Long COVID,2022,,Bradley S. Davidson; Lily Noteboom; Hannah Pierro; Cayce Kantor; Daniel Stoot; Fred Stoot; Daniel Linseman; Troy Hale; Kim Gorgens,
169-299-640-059-894,Physical and psychological symptom burden from long Covid and correlation with clinico-radiological and biochemical profile of hospitalized patients with acute COVID-19 due to Delta variant of SARS-CoV-2,2023,India,Jayamol Revendran; Meenakshi Narasimhan,
169-440-541-727-148,2020 Citizen Science Event Book: #LongCovid,2023,,Andrea Huang,
169-512-700-961-610,"Long COVID Treatment No Silver Bullets, Only a Few Bronze BBs",2025,,Robert Martin,
169-603-539-987-470,Immediate and delayed immune and inflammatory responses to COVID-19,2024,,Felicity Liew,
169-615-881-005-741,Prevalence and risk factors associated with long COVID in children and adolescents: A systematic review and meta-analysis,2023,,Aiyu Guo,
169-722-364-929-632,is Long COVID-19?,2022,,Lin Zhang; J. Paulo Moreira; Yan Xi,
169-842-374-965-561,Preparations for the Assessment of COVID-19 Infection and Long-Term Cardiovascular Risk.,2022,South Korea,Jaehun Jung,COVID-19; COVID-19 vaccination; Cardiovascular risk; Long-COVID
169-875-243-783-320,PERSISTENT OR POST-ACUTE COVID-19: IVERMECTIN TREATMENT FOR PATIENTS WITH PERSISTENT SYMPTOMS,,,Gustavo Aguirre Chang,Long hauler; Long COVID; COVID Long term; Persistent Symptoms; Long Term COVID; Persistent COVID-19; Post-acute COVID-19; Prolonged COVID-19; Subacute COVID-19; Chronic COVID-19; Post-COVID Syndrome; Post-Viral Fatigue; Ivermectin
169-879-336-839-571,The Impact of Long COVID-19 Symptoms on Adolescent Mental Health,2024,,Kaneeka Chakraborty; Lee Conrad,
169-940-752-009-673,Spectrum of COVID-19: From Asymptomatic Organ Damage to Long COVID Syndrome,2024,,Andrew Ewing; Špela Šalamon; Etheresia Pretorius; David Joffe; Greta Fox; Stephane Bilodeau; Yaneer Bar-Yam,
169-989-901-943-177,The Effect of Long-Haul COVID-19 Towards Domains of The Health Related Quality of Life Among Recovered Hospitalized Patients,2022,,Indang Trihandini; Manendra Muhtar; Dea Allan Karunia Sakti; Chintya Putri Erlianti,Long-Haul COVID 19; WHOQOL-BREF Domains; Health-Related Quality of Life (HRQOL)
170-179-793-069-996,A call to action to enhance understanding of long COVID in long-term care home residents.,2022,United Kingdom,Janice M Sorensen; Valorie A Crooks; Shannon Freeman; Simon Carroll; Karen M Davison; Maura MacPhee; Annette Berndt; Jennifer Walls; Akber Mithani,
171-498-007-151-576,Advancing the Management of Long COVID by Integrating into Health Informatics Domain: Current and Future Perspectives,2023,,Radha Ambalavanan; R Sterling Snead; Julia Marczika; Karina Kozinsky; Edris Aman,
171-561-725-165-525,Long COVID and menstruation: bidirectional associations and potential mechanisms.,2025,,Jacqueline Maybin; Catherine Walker; Marianne Watters; Natalie Homer; Joanna Simpson; Cara Robb; Hilary O.D. Critchley; Gabriella Kountourides; Zuzanna Olszewska; Alexandra Alvergne,
172-128-045-024-154,Discovering long COVID symptom patterns: Association rule mining and sentiment analysis in social media tweets (Preprint),2022,,Surani Matharaarachchi; Mike Domaratzki; Alan Katz; Saman Muthukumarana,
172-288-692-587-298,Anti-interferon α-antibodies in pediatric patients with COVID-19 and long COVID.,2025,Poland,Oksana Boyarchuk; Vita Perestiuk; Tetiana Kosovska; Liubov Volianska,COVID-19; anti-interferon-α antibodies; long COVID; type I interferons
172-521-574-849-566,Prevalence of COVID-19 and Long COVID in Collegiate Student Athletes from Spring 2020 to Fall 2021: A Retrospective Survey,2023,,Daisy Massey; Sharon Saydah; Blythe Adamson; Andrew Lincoln; Douglas F. Aukerman; Ethan M. Berke; Robby Sikka; Harlan M. Krumholz,
172-549-843-518-955,Investigating Self-Reporting of Long COVID on Twitter: Findings from Sentiment Analysis,2023,,Nirmalya Thakur,
172-766-974-766-626,Exercise Is the Most Important Medicine for COVID-19.,2023,United States,Harriet A Carroll; Naomi Harvey,
173-067-697-893-590,Supplementary Long COVID,2023,,Nina Dwi Putri,
173-682-442-033-315,Long-COVID in immunocompromised children,2022,,Karolina Kuczborska; Piotr Buda; Janusz Książyk,
173-801-407-895-402,How COVID-19 Brought Medical Gaslighting to the Forefront and Made Invisible Illness Visible: Lessons from the BIPOC Long COVID Study,2023,,Margot Gage Witvliet,
173-922-339-465-857,Potential Biomarkers for Predicting the Risk of Developing Into Long COVID After COVID-19 Infection.,2025,England,Zhiyong Hou; Yu Ming; Jun Liu; Zhong Wang,COVID‐19; immune cell infiltration; long COVID; machine learning algorithms; modular pharmacology platform
173-960-658-278-984,Role of 1-minute sit-to-stand in the diagnosis of Long COVID,2022,,N Faria; T Oliveira; P Pinto; V Almeida; M J Fernandes; R Carvalho; M Sucena; J Gomes,
173-979-624-054-78X,Pharmacotherapy from pre-COVID to post-COVID: longitudinal trends and predictive indicators for long COVID symptoms,2024,,Nadia Baalbaki; Sien Verbeek; Harm Jan Bogaard; Jelle Blankestijn; Vera van den Brink; Merel Cornelissen; Jos Twisk; Korneliusz Golebski; Anke Hilse Maitland-Van der Zee,
174-030-000-522-907,Long COVID or Post-Acute Sequelae of SARS-CoV-2 Infection (PASC) and the Urgent Need to Identify Diagnostic Biomarkers and Risk Factors.,2024,Poland,Dinah V Parums,Long COVID; PASC; SARS-CoV-2; Biomarkers; Risk Factors; Review
174-144-514-834-102,Prediction of Long COVID Based on Severity of Initial COVID-19 Infection: Differences in predictive feature sets between hospitalized versus non-hospitalized index infections,2023,,Damien Socia; Dale Larie; Sol Feuerwerker; Gary An; Chase Cockrell,
174-899-888-988-558,System and Method to Determine ME/CFS and Long COVID Disease Severity Using a Wearable Sensor,2024,,Yifei Sun; Suzanne D. Vernon; Shad Roundy,
175-111-785-055-536,D109. THE LONG AND THE SHORT OF LONG COVID,2023,,,
175-126-690-502-884,Prediction of Long COVID Based on Severity of Initial COVID-19 Infection: Differences in predictive feature sets between hospitalized versus non-hospitalized index infections.,2023,United States,Damien Socia; Dale Larie; Sol Feuerwerker; Gary An; Chase Cockrell,COVID; Long COVID; Machine Learning; Plant Hardiness Zones; SARS-COV2
175-195-472-354-982,Investigation of hippocampal subfield volumes in long COVID and ME/CFS using 7T MRI,2024,,Kiran Thapaliya; Sonya Marshall-Gradisnik; Natalie Eaton-Fitch; Markus Barth; Maira Inderyas; Leighton Barnden,
175-211-501-110-707,Long COVID: An Emerging Puzzle: Long COVID,2021,,Antonis S. Manolis; Theodora A Manolis,
175-240-932-948-90X,The impact of Long COVID on the UK workforce,2022,United Kingdom,Darja Reuschke; Donald Houston,
175-257-413-451-820,Millions of US Children Experience Range of Long COVID Effects.,2024,United States,Emily Harris,
175-375-203-276-216,Long COVID in Elderly Patients: An Epidemiologic Exploration Using a Medicare Cohort,2023,,Kin Wah Fung; Fitsum Baye; Seo H Baik; Zhaonian Zheng; Clement J McDonald,
175-565-390-370-976,Determining the Symptoms of Long-COVID-19 Infection in COVID Long-Haulers,2023,,Stefania Pellino; Margherita Luciano; Rosamaria Luciano; Erika Mancini; Maria Concetta Conte; Gennaro Volpe; Tommaso Zerella,
175-602-323-740-375,"Conclusion: Long COVID, long racism",2023,,,
175-616-612-407-613,Long COVID risk and pre-COVID vaccination in an EHR-based cohort study from the RECOVER program,2023,,M. Daniel Brannock; Robert F. Chew; Alexander Preiss; Emily Hadley; Signe Redfield; Julie A. McMurry; Peter Leese; Andrew T. Girvin; Miles Crosskey; Andrea Zhou; Richard A. Moffitt; Michele Jönsson Funk; Emily Pfaff; Melissa Haendel; Christopher G. Chute,
176-403-437-556-730,Variant connective tissue as a risk factor for long COVID: a case-control study of data from a retrospective online survey of adults in the USA and UK.,2025,England,Regina A Torok; Jeffrey Lubell; Rena M Rudy; Jessica Eccles; Lisa Quadt,COVID-19; Prevalence; Public Health; SARS-CoV-2
176-441-032-688-011,LONG COVID,2022,,Eline Hofman,
176-706-292-731-865,Unified Protocol Application in Patients with Long COVID-19 Condition,2023,,"Verónica Martínez-Borba; Óscar Peris-Baquero; Laura Martínez-García,; Jorge Osma; Esther del Corral-Beamonte",
176-814-295-048-824,When you can't find the words: Using body mapping to communicate patients' experiences of Long Covid.,2024,Netherlands,Maaret Jokela-Pansini; Beth Greenhough; Oonagh Cousins; Jo Dainow,Body mapping; Chronic Illness; Long Covid  COVID-19; Patient communication; Patient support
176-995-648-992-497,"1302-P: Long-COVID in Type 1 and Type 2 Diabetes—Prevalence, Clinical Outcomes, and Inflammatory Marker Responses",2024,United States,EMER O'DOHERTY; ATIF ADAM; ALMOG SHALIT; HETAL SHAH; GEORGE L. KING; ROELAND J.W. MIDDELBEEK,
177-017-388-473-226,Post/Long-COVID,2024,,Eva-Maria Skoda; Hannah Dinse,
177-165-228-686-50X,P-316 Awareness and practices regarding 'long COVID' among employees of selected electronics industries in South India,2023,,Merlyn Joseph; Bobby Joseph,
177-288-860-524-23X,Long COVID,2021,,Disease Ontology,
177-292-457-132-174,"""The dream is that there's one place you go"": a qualitative study of women's experiences seeking care from Long COVID clinics in the USA.",2024,United Kingdom,Linnea I Laestadius; Jeanine P D Guidry; Megan M Wahl; Paul B Perrin; Kellie E Carlyle; Xiaobei Dong; Raouf Gharbo; Celeste Campos-Castillo,Access to care; Long COVID; Post COVID; Qualitative; Quality of care; Women
177-620-669-942-240,Long COVID as a Disability,2025,,Charles Allan McCoy,
178-097-738-397-331,"How ""long covid"" is shedding light on postviral syndromes.",2022,United Kingdom,Brian Owens,
178-346-146-080-781,LONG COVID: A LONG RACE TO WIN,2023,United States,SARANG PATIL,
178-452-078-730-795,Long COVID from rheumatology perspective - a narrative review,2021,Germany,Hem Raj Sapkota; Arvind Nune,
178-597-819-377-747,Generation COVID-19 Long Haulers,,,Julia M. Puaschunder,COVID-19; Crisis; Debilitation; Emotional impairment; Fatigue; Headaches; Memory fog; Generation COVID-19 Long Haulers; Healthcare; Medication; Preventive care; Respiratory symptoms; Self-measurement; Vaccination
178-868-091-831-389,Long COVID.,2022,Poland,Katarzyna Guziejko; Jarosław Tałałaj; Piotr Czupryna; Anna Moniuszko-Malinowska,COVID-19; long COVID; long-term health consequences; pandemic
179-139-350-309-090,Long COVID as a chronic illness: giving credibility to support students,2023,,Katherine C. Aquino; Jane Jarrow; Lisa Vance; Ametrine Elizabeth Rei‐Skoff,
179-320-168-774-312,Correlation between immune system activity and the susceptibility to Long COVID symptoms,2023,,Dylan Nguyen,
179-358-444-834-291,Long COVID in children,2023,,Joseph L. Mathew; Kamal Kumar Singhal,
179-392-014-056-097,Long COVID Mimicking Interstitial Lung Disease: A Case Series.,2021,Romania,Nitin Goel; Nitesh Goyal; Raj Kumar,COVID-19 RT-PCR Testing; COVID19; IgG; Interstitial Lung Disease; SARS-CoV-2
179-639-543-196-679,How long-Haul COVID Impacts the Ability to Work and Manage Social and Physical Activities?,2021,,Benjamin Clarke,
179-645-701-014-174,Long-COVID-19,2024,,Robert Bals,
179-984-166-144-060,What Risk Factors to Cause Long COVID and Its Impact on Patient Survival Outcomes when Combined with the Effect from Organ Transplantation in the Acute COVID,2023,,Jianghu Dong,
180-198-725-599-916,What is causing the 'long-hauler' phenomenon after COVID-19?,2021,United States,Leonard H. Sigal,
